id,Vypocet,Skutecnost,Chyba
16265,94.0,76.0,18.0
16272,92.0,69.0,23.0
16273,92.0,73.0,19.0
16420,90.0,79.0,11.0
16483,90.0,83.0,7.0
16539,90.0,79.0,11.0
16773,89.0,86.0,3.0
16786,89.0,73.0,16.0
16795,90.0,70.0,20.0
17052,92.0,69.0,23.0
17453,92.0,82.0,10.0
18177,91.0,90.0,1.0
18184,90.0,82.0,8.0
19088,86.0,96.0,-10.0
19090,87.0,71.0,16.0
19093,81.0,69.0,12.0
19140,90.0,81.0,9.0
19830,88.0,90.0,-2.0
