Sample_i,Sample_j,Correlation
5,advice.txt,0
4,no.txt,91933651715761.078125
3,solution.txt,832173783.885272979736328125
2,no.txt,58003549374923.53125
1,disaster.txt,9747958721481.2265625
0,idea.txt,12807319248783.603515625
